編號,機構名稱,機構地址,行政區,行政區碼,106年,107年,108年,109年,110年,111年,center_longitude,center_latitudes,locality_ids,locality_texts
116,臺北市私立小腳ㄚ托嬰中心,台北市北投區吉利街162號,北投區,63000120,,,甲,,,甲,121.506857,25.118587,locality.63621863,北投區
117,臺北市私立小腳ㄚ大未來托嬰中心,台北市北投區吉利街162號,北投區,63000120,,,甲,,,甲,121.506857,25.118587,locality.63621863,北投區
118,臺北市私立樂葳兒托嬰中心,台北市北投區文林北路112號,北投區,63000120,,,,,甲,,121.501379,25.132419,region.58599,Taipei
119,臺北市私立天華托嬰中心,台北市北投區光明路167號2號,北投區,63000120,,,,,甲,,121.504075,25.136259,locality.63621863,北投區
120,臺北市私立滿月蒙特梭利托嬰中心,台北市北投區石牌路二段307號,北投區,63000120,,,,,,乙,121.521332,25.118997,locality.63621863,北投區
121,臺北市私立是愛托嬰中心,台北市北投區永興路二段37號,北投區,63000120,,,,,,丙(輔導通過),121.5018401,25.1400433,locality.63621863,北投區
122,臺北市私立明德寶寶托嬰中心,台北市北投區致遠一路一段11巷1號,北投區,63000120,,,,,,丙(輔導通過),121.5169534,25.1072598,locality.63621863,北投區
123,臺北市私立快樂托嬰中心,台北市內湖區民權東路六段282號,內湖區,63000100,,乙,,,乙,,121.604443,25.071417,locality.63613671,內湖區
124,臺北市私立小小百合蒙特梭利托嬰中心,台北市內湖區星雲街36號,內湖區,63000100,,乙,,,甲,,121.590855,25.078307,locality.63613671,內湖區
125,臺北市私立貝比托嬰中心,台灣中山區中山北路二段116巷9號,內湖區,63000100,,甲,,,優,,121.5219252,25.060998,locality.63589095,中山區
126,臺北市私立櫻之圓蒙特梭利托嬰中心,台北市內湖區環山路一段24巷8號,內湖區,63000100,,優,,,優,,121.5653325,25.0845192,locality.63613671,內湖區
127,臺北市私立拉斐爾托嬰中心,台北市內湖區民權東路六段296巷87號,內湖區,63000100,乙,甲,,,甲,,121.6075201,25.071267,locality.63613671,內湖區
128,臺北市私立嘉霙托嬰中心,台北市內湖區陽光街116號,內湖區,63000100,,,甲,,,甲,121.5804676,25.0741947,locality.63613671,內湖區
129,臺北市私立拉斐爾天使托嬰中心,台北市內湖區民權東路6段296巷87號,內湖區,63000100,,甲,,,丙(輔導通過),,121.565647,25.063248,locality.63671015,松山區
130,臺北市私立斑比諾托嬰中心,台北市內湖區民權東路六段190號,內湖區,63000100,,,甲,,,甲,121.5943402,25.066429,locality.63613671,內湖區
131,臺北市私立愛德芬托嬰中心,台北市內湖區民權東路六段296巷48號,內湖區,63000100,通過,,,乙,,,121.6075201,25.071267,locality.63613671,內湖區
132,臺北市私立維多爾托嬰中心,台北市內湖區民權東路六段296巷41號,內湖區,63000100,,通過,,,甲,,121.6075201,25.071267,locality.63613671,內湖區
133,臺北市私立勁寶兒文德托嬰中心,台北市內湖區內湖路二段130號,內湖區,63000100,,,乙,,,甲,121.58283,25.079829,locality.63613671,內湖區
134,臺北市私立愛寶貝內湖園托嬰中心,台北市內湖區內湖路二段271號,內湖區,63000100,,,乙,,,甲,121.590783,25.082388,locality.63613671,內湖區
135,臺北市私立艾兒嘉托嬰中心,台北市內湖區民權東路六段296巷66號,內湖區,63000100,,,乙,,,甲,121.6075201,25.071267,locality.63613671,內湖區
136,臺北市私立永寶兒托嬰中心,台北市內湖區民權東路六段180巷6號,內湖區,63000100,,,乙,,,乙,121.592548,25.068255,locality.63613671,內湖區
137,臺北市私立一貳三托嬰中心,台北市內湖區金莊路26號,內湖區,63000100,,,甲,,,甲,121.5876268,25.0636058,locality.63613671,內湖區
138,臺北市私立璽典托嬰中心,台北市內湖區石潭路61號,內湖區,63000100,,,,,甲,,121.58619,25.062565,locality.63613671,內湖區
139,臺北市私立青穗國際托嬰中心,台北市內湖區東湖路113巷5弄16號,內湖區,63000100,,,,,乙,,121.6147349,25.0691431,locality.63613671,內湖區
140,臺北市私立藝蘭托嬰中心,台北市內湖區港墘路84號,內湖區,63000100,,,,,乙,,121.577636,25.080427,locality.63613671,內湖區
141,臺北市私立小幼苗托嬰中心,台北市內湖區星雲街99號,內湖區,63000100,,,,,,乙,121.593051,25.079114,locality.63613671,內湖區
142,臺北市私立貝格爾碧湖托嬰中心,台北市內湖區內湖路二段103巷64號,內湖區,63000100,,,,,,甲,121.580874,25.084524,locality.63613671,內湖區
143,臺北市私立小狀元托嬰中心,台北市南港區市民大道八段369號,南港區,63000090,乙,,,乙,,,121.607825,25.05339,locality.63630055,南港區
144,臺北市私立拉斐爾甜心托嬰中心,台北市南港區經貿二路231號,南港區,63000090,,,甲,,,丙(輔導不通過),121.615058,25.060277,locality.63630055,南港區
145,臺北市私立拉斐爾微笑托嬰中心,台北市南港區興中路68巷6號,南港區,63000090,,,,,乙,,121.606272625304,25.0566029,locality.63630055,南港區
146,臺北市私立愛寶貝南港園托嬰中心,臺北市南港區三重里南港路1段2巷27號,南港區,63000090,,,,,甲,,121.613262,25.055301,locality.63630055,南港區
147,臺北市私立荳寶托嬰中心,台北市南港區興南街50號及52巷1號,南港區,63000090,,,,,甲,,121.601842,25.056209,locality.63630055,南港區
148,臺北市私立育德興隆托嬰中心,台北市文山區興隆路二段61巷6號,文山區,63000080,,,乙,,,甲,121.545655,24.999415,locality.63662823,文山區
149,臺北市私立勁寶兒公館托嬰中心,台北市文山區萬盛街42號,文山區,63000080,甲,,,甲,,,121.539285,25.007257,locality.63662823,文山區
150,臺北市私立芳馨園木柵托嬰中心,台北市文山區久康街24巷36號,文山區,63000080,,,乙,,,甲,121.56558325,24.989173,locality.63662823,文山區
151,臺北市私立幸福家托嬰中心,台北市文山區新光路一段31巷1號,文山區,63000080,,,乙,,,乙,121.573724,24.990759,locality.63662823,文山區
152,臺北市私立馥葆托嬰中心,台北市文山區木新路二段161巷24弄2號,文山區,63000080,,通過,,,乙,,121.5690287,24.9835321,locality.63662823,文山區
153,臺北市私立愛兒福托嬰中心,台北市文山區辛亥路四段252巷8號,文山區,63000080,,通過,,,甲,,121.5539862,25.00169,locality.63662823,文山區
154,臺北市私立樂娃兒托嬰中心,台北市文山區羅斯福路六段159巷1弄18號,文山區,63000080,,,,甲,,,121.541136,24.997546,locality.63662823,文山區
155,臺北市私立陽光夥伴托嬰中心,台北市文山區保儀路62號,文山區,63000080,,,,,乙,,121.568603,24.987262,locality.63662823,文山區
156,臺北市私立樂萌兒托嬰中心,台北市文山區木新路二段11號,文山區,63000080,,,,,甲,,121.5686729,24.9839246,locality.63662823,文山區
157,臺北市私立滬江高級中學附設員工子女托嬰中心,台北市文山區羅斯福路六段336號,文山區,63000080,,,,,,甲,121.538493,24.989279,locality.63662823,文山區
158,中山托嬰中心,台北市中山區林森北路511號,中山區,63000040,,,優等,,,優等,121.525779,25.062397,locality.63589095,中山區
159,北投托嬰中心,台北市北投區光明路22號,北投區,63000120,優等,,,優等,,,121.49925,25.132573,locality.63621863,北投區
160,大同托嬰中心,台北市大同區重慶北路三段120巷2號,大同區,63000060,,,甲等,,,優等,121.5122965,25.0672484,locality.63646439,大同區
161,萬華托嬰中心,台北市萬華區成都路98號,萬華區,63000070,,優等,,,優等,,121.503377,25.042773,locality.63679207,萬華區
162,文山托嬰中心,台北市文山區木柵路一段177號,文山區,63000080,,優等,,,優等,,121.551082,24.987916,locality.63662823,文山區
163,大安托嬰中心,台北市大安區羅斯福路四段21號,大安區,63000030,甲等,,,優等,,,121.535968,25.014207,locality.63654631,大安區
164,中正托嬰中心,台北市中正區詔安街29號,中正區,63000050,優等,,,優等,,,121.51454,25.025371,locality.63597287,中正區
165,信義托嬰中心,台北市信義區基隆路二段99號,信義區,63000020,優等,,,優等,,,121.558711,25.02917,locality.63605479,信義區
166,南港托嬰中心,台北市南港區東新街65號,南港區,63000090,優等,,,優等,,,121.58725,25.04738,locality.63630055,南港區
167,松山托嬰中心,台北市松山區健康路323號,松山區,63000010,優等,,,優等,,,121.566709,25.054361,locality.63671015,松山區
168,士林托嬰中心,台北市士林區基河路130號,士林區,63000110,,優等,,,優等,,121.522778,25.089133,locality.63638247,士林區
169,內湖托嬰中心,台北市內湖區內湖路一段659號,內湖區,63000100,,優等,,,優等,,121.575314,25.080285,locality.63613671,內湖區
170,景美托嬰中心,臺北市文山區羅斯福路6段455巷28號,文山區,63000080,,,甲等,,,優等,121.539394,25.0003,locality.63662823,文山區
171,大湖托嬰中心,台北市內湖區大湖山莊街170號,內湖區,63000100,,,優等,,,優等,121.600365,25.087338,locality.63613671,內湖區
172,萬大托嬰中心,台北市萬華區西藏路199巷,萬華區,63000070,,,甲等,,,優等,121.4999796,25.0267421,locality.63679207,萬華區
173,關渡托嬰中心,台北市北投區知行路212號2樓,北投區,63000120,,,甲等,,,優等,121.467811,25.119991,locality.63621863,北投區
174,新生托嬰中心,台北市中正區新生南路一段54巷5弄2號,中正區,63000050,,,,甲等,,,121.5322159,25.0416906,locality.63597287,中正區
175,西湖托嬰中心,台北市內湖區環山路一段25號,內湖區,63000100,,,,優等,,,121.566252,25.083759,locality.63613671,內湖區
176,健康托嬰中心,台北市松山區健康路323號,松山區,63000010,,,,甲等,,,121.566709,25.054361,locality.63671015,松山區
177,興隆托嬰中心,台北市文山區興隆路四段105巷49號,文山區,63000080,,,,甲等,,,121.560688,24.98766,locality.63662823,文山區
178,青年托嬰中心,台北市萬華區青年路188之1號,萬華區,63000070,,,,,優等,,121.502602,25.021125,locality.63679207,萬華區
179,東明托嬰中心,台北市南港區南港路二段60巷17號,南港區,63000090,,,,,,優等,121.6054802,25.0544335,locality.63630055,南港區
